key,en,ko,ja,zh,wiki
Chichijima,Chichijima,지치지마섬,父島 (Chichijima),父島,https://en.wikipedia.org/wiki/Chichijima
Hahajima,Hahajima,하하지마섬,母島 (Hahajima),母島,https://en.wikipedia.org/wiki/Hahajima
Mukojima,Mukojima,무코지마섬,聟島 (Mukojima),聟島,https://en.wikipedia.org/wiki/Muko-jima
Iwo Jima (Iō-tō),Iwo Jima (Iō-tō),이오섬,硫黄島 (Iō-tō),硫磺島,https://en.wikipedia.org/wiki/Iwo_Jima
Kita-Iō-tō,Kita-Iō-tō (North Iwo Jima),기타이오섬,北硫黄島 (Kita-Iōtō),北硫磺島,https://en.wikipedia.org/wiki/North_Iwo_Jima
Minami-Iō-tō,Minami-Iō-tō (South Iwo Jima),미나미이오섬,南硫黄島 (Minami-Iōtō),南硫磺島,https://en.wikipedia.org/wiki/South_Iwo_Jima
