scope,key,en,population,m_per_100_f,pct_of_total,area_km2,same_as,note,reg_jp,reg_tw,for_total
city,taipei,"Taihoku (Taibei, Taipei)",240435,108.50,,,,,70369,154694,15372
city,tainan,Tainan,98114,109.25,,,,,15496,78744,3874
city,keelung,"Kīrun (Jilong, Keelung)",78214,108.55,,,,,19254,54669,4291
city,kaohsiung,"Takao (Gaoxiong, Kaohsiung)",62633,112.52,,,,,15878,44893,1862
city,chiayi,"Kagi (Jiayi, Chiayi)",58276,107.59,,,,,8883,47649,1744
city,taichung,"Taichū (Taizhong, Taichung)",55347,115.17,,,,,13445,40402,1500
city,hsinchu,"Shinchiku (Xinzhu, Hsinchu)",45867,100.27,,,,,5328,39971,568
